CosTheta       nPEs
-0.980000       1306.951045
-0.940000       1316.920135
-0.900000       1328.535765
-0.860000       1338.685934
-0.820000       1346.919904
-0.780000       1353.885317
-0.740000       1360.031442
-0.700000       1366.192957
-0.660000       1369.417391
-0.620000       1373.484358
-0.580000       1377.006492
-0.540000       1379.955004
-0.500000       1382.651332
-0.460000       1384.847947
-0.420000       1387.776897
-0.380000       1390.559502
-0.340000       1392.183834
-0.300000       1394.342422
-0.260000       1396.866035
-0.220000       1398.384774
-0.180000       1399.235026
-0.140000       1399.415295
-0.100000       1400.138865
-0.060000       1401.089786
-0.020000       1400.973521
0.020000        1401.396493
0.060000        1401.231283
0.100000        1400.363844
0.140000        1399.606866
0.180000        1399.372133
0.220000        1397.914628
0.260000        1395.632957
0.300000        1394.456268
0.340000        1392.069072
0.380000        1389.800547
0.420000        1387.881460
0.460000        1385.807275
0.500000        1382.873788
0.540000        1380.363640
0.580000        1377.125939
0.620000        1373.673452
0.660000        1369.267161
0.700000        1365.042797
0.740000        1359.098165
0.780000        1353.003423
0.820000        1346.682258
0.860000        1338.049640
0.900000        1328.013792
0.940000        1316.214865
0.980000        1305.184634
